Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Factor Value[Growth Environment]	Factor Value[Time]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Media Information]	Term Source REF	Term Accession Number	Parameter Value[Growth Temperature]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number
5.4	5.4	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	LIS	1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
G4.1	G4.1	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Ground Control	OSD	https://osdr.nasa.gov/	SS316	1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
G4.2	G4.2	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Ground Control	OSD	https://osdr.nasa.gov/	SS316	1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
G4.3	G4.3	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Ground Control	OSD	https://osdr.nasa.gov/	SS316	1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
G4.4	G4.4	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Ground Control	OSD	https://osdr.nasa.gov/	SS316	1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
G4.6	G4.6	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Ground Control	OSD	https://osdr.nasa.gov/	p-SS316	1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
G4.7	G4.7	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Ground Control	OSD	https://osdr.nasa.gov/	p-SS316	1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
G4.8	G4.8	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Ground Control	OSD	https://osdr.nasa.gov/	p-SS316	1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
G5.1	G5.1	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Ground Control	OSD	https://osdr.nasa.gov/	LIS	1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
G5.2	G5.2	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Ground Control	OSD	https://osdr.nasa.gov/	LIS	1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
G5.3	G5.3	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Ground Control	OSD	https://osdr.nasa.gov/	LIS	1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
G5.4	G5.4	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Ground Control	OSD	https://osdr.nasa.gov/	LIS	1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
10.1	10.1	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	SS316	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
10.2	10.2	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	SS316	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
10.3	10.3	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	SS316	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
10.4	10.4	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	SS316	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
10.5	10.5	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	p-SS316	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
10.6	10.6	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	p-SS316	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
10.8	10.8	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	p-SS316	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
11.1	11.1	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	LIS	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
11.2	11.2	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	LIS	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
11.3	11.3	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	LIS	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
11.4	11.4	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	LIS	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
G10.1	G10.1	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Ground Control	OSD	https://osdr.nasa.gov/	SS316	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
G10.2	G10.2	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Ground Control	OSD	https://osdr.nasa.gov/	SS316	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
G10.3	G10.3	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Ground Control	OSD	https://osdr.nasa.gov/	SS316	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
G10.4	G10.4	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Ground Control	OSD	https://osdr.nasa.gov/	SS316	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
G10.5	G10.5	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Ground Control	OSD	https://osdr.nasa.gov/	p-SS316	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
G10.6	G10.6	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Ground Control	OSD	https://osdr.nasa.gov/	p-SS316	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
