Source Name,biofilm_mass_micrometer_cubed_by_micrometer_squared,biofilm_biomass_mean_thickness_micrometer,biofilm_maximum_thickness_micrometer,biofilm_surface_area_coverage_percent,roughness_coefficient_roughness_average
G7.2002,3.4492,5.55236,5.658,97,0.08431
G7.2003,3.16775,5.80398,6.21,89.82,0.24078
G7.3,0.67775,3.15282,5.25,44.32,1.12299
G7.3001,0.91637,3.68156,7.648,55.5,0.93826
G7.3002,0.56001,4.40779,9.39,36.08,1.29421
G7.3003,1.15632,4.84202,8.835,59.52,0.84412
G7.5,1.50438,2.79767,7.852,61.03,0.84586
G7.5001,1.09051,2.98113,8.976,49.84,1.03505
G7.5002,1.33653,2.6301,6.574,65.19,0.78385
G7.5003,1.22447,3.48667,7.682,52.14,0.99475
G7.6,1.28674,3.28427,5.2224,66.33,0.7444
G7.6001,0.11759,3.57413,5.2759,10.16,1.79685
G7.6003,1.81801,6.70677,9.022,43.26,1.13852
G7.7,6.13524,10.68957,11.32,98.2,0.10034
G7.7001,2.77451,7.39105,8.25,63.15,0.73996
G7.7002,0.48333,10.22884,13.354,13.24,1.73549
G7.7003,2.42155,12.14124,13.932,65.38,0.693
G7.8,2.05965,8.00537,13.461,64.46,0.81022
G7.8001,3.0259,9.89189,14.102,73.72,0.61769
G7.8002,3.19845,9.07662,11.529,71.75,0.61472
G7.8003,2.94227,6.29774,9.401,88.53,0.49961
G8.1,1.19767,9.59728,10.59,37.53,1.44954
G8.1001,1.63918,18.21097,19.224,42.13,1.15751
G8.1002,0.05986,10.43637,10.642,1.84,1.96328
G8.1003,1.67733,16.62903,19.6,37.71,1.24574
G8.2,0.25715,9.89605,15.352,2.81,1.9437
G8.2001,0.51998,6.83475,17.979,10.97,1.78088
G8.2002,0.01544,2.40132,5.439,0.91,1.98176
G8.2003,0.45698,5.0185,12.648,9.93,1.80158
G8.3,0.26355,5.58634,5.958,11.36,1.77273
G8.3001,0.1109,3.27943,3.641,7.36,1.85287
G8.3002,0.82329,13.29484,14.42,21.23,1.57539
G8.3003,0.53505,5.08022,5.5034,28.84,1.42317
G8.4,0.057,3.89815,4.4414,4.86,1.90284
G8.4001,0.54617,8.36948,9.802,14.97,1.70067
G8.4002,0.01479,2.3761,3.69,1.9,1.96195
G8.4003,0.70909,7.34129,7.94,21.2,1.57596
G8.5002,1.56285,9.89125,16.872,35.52,1.30897
G8.5003,6.00641,11.78976,20.62,60.69,0.82542
G8.6,2.29072,4.93166,10.217,97.45,0.41238
G8.6001,2.54023,4.53234,8.8333,91.14,0.48787
G8.6002,2.34413,6.5497,12.243,97.46,0.37979
G8.6003,3.95319,7.8293,13.494,99.94,0.31563
G8.6004,3.3894,6.87628,16.029,98.47,0.4062
G8.6005,2.88682,6.60631,17.442,96.82,0.48391
G8.7,6.30221,11.88652,32.751,84.19,0.85504
G8.7001,3.38313,6.63006,13.583,89.86,0.40937
G8.7002,4.27007,7.90223,16.354,95.02,0.42713
G8.7003,8.94699,17.79849,19.247,99.97,0.07952
G9.1,4.20998,14.62233,17.892,98.72,0.13335
G9.1001,3.89342,10.49326,13.376,99.38,0.12287
G9.1002,4.77734,10.89943,11.682,98.22,0.10123
G9.1003,3.56191,11.87484,15.2,98.04,0.17262
G9.2,7.34762,29.35771,32.832,87.01,0.29297
G9.2001,4.64614,15.61865,21.261,98.52,0.14269
G9.2002,5.42549,17.49793,25.557,99.58,0.14022
G9.2003,3.5215,16.84123,21.006,97.91,0.12466
G9.3003,5.14513,18.71842,22.323,75.92,0.4947
G9.4,2.94578,11.57451,18.088,87.07,0.35531
G9.4001,3.67737,19.17886,27.702,92.16,0.19728
G9.5,2.37531,2.75202,9.728,93.89,0.44105
G9.5001,2.53147,3.81872,10.336,98.83,0.30773
G9.5002,1.87708,3.06499,9.6346,97.25,0.39682
G9.5003,2.39696,3.5687,8.0288,96.79,0.36214
G9.6,4.75528,10.78589,17.556,99.96,0.18795
G9.6001,7.19126,10.31114,16.302,100,0.18228
G9.6002,2.95088,8.19112,19.36,99.51,0.29086
G9.6003,3.21842,8.08339,16.327,99.52,0.23757
G9.7,3.83657,7.34747,12.6,99.97,0.17931
G9.7001,4.02645,9.93511,15.05,99.91,0.14359
G9.7002,1.76835,8.02126,12.95,97.06,0.14537
G9.7003,2.09929,7.17634,10.2,98.26,0.15633
G9.8,5.05734,9.38927,17.48,99.61,0.23365
G9.8001,6.63944,10.53319,24.87,99.97,0.21555
G9.8002,3.25028,9.74739,21.554,94.08,0.3086
G9.8003,3.79188,10.10657,24.786,97.41,0.2827
G13.1,1.78267,6.18948,8.775,74.24,0.61465
G13.1001,0.46496,5.96783,7.049,24.9,1.50268
G13.1002,2.99736,7.66824,9.6,85.29,0.36356
G13.1003,1.85952,3.59425,4.233,71.36,0.60861
G13.2,4.59835,7.96092,8.88,91.68,0.22748
G13.2001,2.2046,9.01818,11.592,75.34,0.56034
G13.2002,1.13945,7.03627,10.512,49.93,1.0628
G13.2003,1.26748,7.74612,8.883,56.73,0.88524
G13.3,1.88489,3.96412,6.4,83.37,0.40395
G13.3001,2.01963,3.59706,7.6,87.95,0.31641
G13.3002,1.58108,3.95213,7.8,69.31,0.63789
G13.3003,2.15443,4.6385,8,87.82,0.33334
G13.4002,3.14066,6.21155,9.156,95.47,0.36613
G13.4003,0.89263,3.72195,5.559,47.57,1.06225
G13.5,2.89041,6.71392,8.211,83.48,0.41061
G13.5001,2.88171,7.15957,8.8,82.2,0.40282
G13.5002,3.74932,6.52192,7.383,93.62,0.22872
G13.5003,3.02656,6.35033,8.112,90.06,0.28042
G13.6,1.19836,4.26363,5.616,68.3,0.64617
G13.6001,1.73789,4.20453,5.6793,80.97,0.4631
G13.6002,0.47305,5.74537,7.7974,38.5,1.23159
G13.6003,0.84247,4.34169,5.508,55.96,0.88397
G13.7,5.1248,9.31681,9.912,84.6,0.33733
G13.7001,3.38202,7.03866,7.85,71.1,0.59919
G13.7002,1.57193,8.03781,10.048,47.74,1.05137
G13.7003,1.24689,4.51834,6.314,46.58,1.07603
G13.8,0.63517,3.89061,4.092,29.96,1.40077
G13.8001,2.67399,3.81549,3.936,96.64,0.10911
G13.8002,1.60565,5.45904,5.922,65.44,0.69147
G13.8003,2.64043,4.49747,4.98,84.01,0.37325
G14.1001,0.27296,13.9225,18.197,7.33,1.85339
G14.1002,0.33643,11.12452,16.5,6.53,1.86949
G14.1003,0.53068,14.98528,16.173,7.36,1.85286
G14.2,0.60372,1.98026,4.5,29.24,1.42571
G14.2001,1.25233,2.67775,5.5,46.38,1.0967
G14.2002,0.62848,2.11547,5.6,30.7,1.40704
G14.2003,0.45406,2.95024,5.8,17.07,1.65989
G14.3,0.29303,12.97013,13.49,4.2,1.91607
G14.3001,0.13105,9.3192,9.864,2.54,1.94911
G14.3002,0.52128,14.29332,19.932,10.87,1.78259
G14.3003,0.82553,17.51623,28.974,14.46,1.7109
G14.4,0.01609,2.5067,2.568,1.06,1.97887
G14.4001,0.20368,4.16459,4.272,7.36,1.85278
G14.4002,0.52015,4.05955,4.103,17.2,1.65609
G14.4003,0.45996,8.04203,8.148,12.89,1.74227
G14.5002,7.65572,13.18709,43.056,93.35,0.60817
G14.5003,6.9719,12.9806,39.375,98.68,0.3392
G14.6,0.64865,8.15636,18.745,14.76,1.70503
G14.6001,2.87934,9.48031,17.93,64.71,0.76828
G14.6002,1.56435,8.42558,16.725,47.64,1.08232
G14.6003,2.33492,7.70121,13.728,64.52,0.79248
G14.8001,1.47579,3.02628,7.56,88.32,0.39792
G14.8002,1.40445,3.04259,7.008,85.35,0.4376
G14.8003,0.46358,2.64032,8.272,33.24,1.34606
G15.1,4.67435,8.91422,9.1,99.52,0.04163
G15.1001,5.1996,11.06752,11.414,100,0.04103
G15.1002,5.13389,10.93177,12.555,100,0.09823
G15.1003,4.82439,9.9994,12.256,99.93,0.10114
G15.3,2.46167,8.85188,13.2,99.05,0.09656
G15.3001,2.39388,4.53836,10.8,97.38,0.33443
G15.3002,4.77112,6.22789,11.1,100,0.15802
G15.4,2.83029,6.97982,9.728,98.94,0.1039
G15.4001,2.919,8.51109,12.684,99.14,0.10755
G15.4002,4.0406,11.24227,13.629,100,0.07724
G15.4003,3.08051,6.05479,9.21,99.91,0.12961
G15.5,3.1279,10.90886,19.0513,99.49,0.13845
G15.5001,3.43678,7.38843,14.234,99.64,0.15795
G15.5002,3.14941,7.07581,15.18,98.72,0.22227
G15.5003,3.45101,7.17544,12.016,99.99,0.14679
G15.6,6.06543,12.34336,19.826,100,0.2078
G15.6001,2.93944,12.26625,23.76,98.13,0.25758
G15.6002,3.43575,13.25654,25.017,99.49,0.18372
G15.6003,3.15974,16.87568,25.245,97.31,0.15449
G15.7,1.32814,4.60192,10.94,87.85,0.34759
G15.7001,2.51343,5.24757,11.109,97.82,0.2583
G15.7002,1.3547,4.30713,10.051,90.68,0.30544
G15.7003,1.57638,5.77996,13.086,93.69,0.23024
G15.8003,5.25376,12.64984,27.816,98.96,0.27846
1.1,0.22771,2.60892,4.448,22.98,1.54586
1.1001,0.20215,2.04558,3.318,17.75,1.64547
1.1002,0.20986,3.31681,4.32,13.73,1.72565
1.1003,0.23232,3.33776,4.599,13.49,1.73025
1.2,0.10859,3.28144,5.808,8.54,1.82913
1.2001,0.28912,2.27629,2.432,14.7,1.70612
1.2002,1.11578,4.66008,5.484,44.11,1.12211
1.2003,1.02236,4.01598,4.368,42.34,1.15729
1.3,0.16169,3.41282,5.523,10.71,1.78587
1.3001,0.18622,3.74862,6.82,14.67,1.70786
1.3002,0.32579,4.6146,7.696,18.07,1.63869
1.3003,0.19169,4.455,6.688,13.55,1.72903
1.4,0.00694,2.5972,4.08,0.73,1.98538
1.4001,0.03454,2.96838,5.221,3.15,1.93691
1.4002,0.00606,1.71197,3.145,0.83,1.98341
1.4003,0.04302,2.32361,3.632,3.86,1.9228
1.5,0.25128,3.57243,5.562,14.92,1.70175
1.5001,0.22138,3.80201,5.8,15.19,1.69684
1.5002,0.25319,3.30902,5.778,15.76,1.68522
1.5003,0.38881,5.70745,8.1077,19.72,1.60581
1.6,0.30079,3.47289,5.244,16.2,1.67611
1.6001,0.24885,4.51085,6.02,16.03,1.6794
1.6002,0.11407,2.62929,3.834,8.05,1.83904
1.6003,0.07086,2.00006,3.024,5.91,1.8818
1.7,0.19936,3.64275,5.565,14.61,1.70813
1.7001,0.44282,5.16293,7.524,23.2,1.5362
1.7002,0.65741,5.06107,8.096,38.74,1.2303
1.7003,0.38242,4.55743,6.795,15.87,1.68264
1.8,0.20518,2.1357,3.077,30.93,1.38566
1.8001,0.20723,3.47365,4.709,23.64,1.53171
1.8002,0.20136,2.04687,3.296,26.65,1.47029
1.8003,0.79889,3.49367,5.22,50.87,0.99323
2.1,0.05464,3.94833,4.86,4.01,1.91974
2.1001,0.05326,4.64741,4.862,4.38,1.91245
2.1002,0.06405,2.47829,3.536,5.44,1.89126
2.1003,0.1212,6.53124,7.014,11.57,1.7685
2.2,0.0137,3.04673,3.612,1.36,1.97276
2.2001,0.06349,1.84155,2.079,5.61,1.8877
2.2002,0.19429,9.56817,10.258,6.27,1.87469
2.2003,0.01549,2.03393,2.398,1.83,1.9633
2.3,0.04408,4.31763,6.88,2.77,1.94454
2.3001,0.03111,9.05355,12.19,2.06,1.95877
2.3002,0.03367,5.47949,7.92,2.7,1.94609
2.3003,0.03934,9.43649,12.407,2.4,1.9519
2.4,0.25694,6.38646,7.5181,32.29,1.35438
2.4001,0.18095,9.73329,10.752,15.67,1.68652
2.4002,0.00995,2.01017,2.46,1.68,1.96645
2.4003,0.05532,6.61934,7.08,7.67,1.84668
2.5,6.17954,11.00226,11.286,100,0.03355
2.5003,2.70158,5.68459,6.118,98.04,0.10518
2.6002,0.4326,5.70224,10.934,24.43,1.51389
2.6003,3.71282,8.493,10.016,99.62,0.14566
2.7001,6.03374,9.15328,9.35,100,0.03177
3.1,3.8531,7.18863,19.604,88.18,0.33921
3.1001,4.09293,7.14027,15.3,99.71,0.22659
3.1002,3.24565,10.39306,28.588,70.65,0.79005
3.1003,5.10971,9.86876,15.3,99.72,0.09836
3.2,5.16795,8.11547,12.2846,96.84,0.23752
3.2001,4.71655,6.26968,6.705,96.6,0.14903
3.2002,4.11205,6.27057,8.592,99.47,0.2006
3.2003,4.177,8.16266,10.74,99.18,0.16339
3.3,3.5274,10.59273,11.802,99.44,0.08151
3.3001,2.49659,8.21958,12.364,99.54,0.08633
3.3002,7.96158,26.8715,31.878,96.64,0.20084
3.3003,3.07101,6.99484,9.376,99.6,0.13114
3.4,6.52365,7.89251,14.592,99.97,0.18324
3.4001,4.1964,6.49206,25.536,92.4,0.30994
3.5,4.31838,8.46244,16.14,99.9,0.13757
3.5001,3.53465,8.28882,15.719,99.21,0.13754
3.5002,4.71594,12.87434,17.64,99.98,0.06871
3.5003,4.10713,8.03594,14.112,99.94,0.11885
3.6,2.4471,7.10489,12.7,99.96,0.10676
3.6001,2.59145,6.60591,12.208,99.74,0.17838
3.6002,2.59397,9.13813,14.44,99.29,0.13582
3.6003,3.43832,6.16279,10.914,99.99,0.16783
3.7,4.30938,9.43993,16.821,100,0.10932
3.7001,2.95736,6.42856,10.728,99.98,0.1413
3.7002,3.56081,4.90122,11.35,99.99,0.24157
3.7003,2.74519,5.42485,11.707,99.84,0.17844
3.8,2.61253,6.44184,14.128,99.68,0.22396
3.8001,3.25995,8.00056,18.408,99.52,0.22993
3.8002,2.83778,6.76105,13.44,98.58,0.16247
3.8003,2.87886,7.35279,13.44,98.27,0.21921
7.1,0.18783,1.841,2.646,18.03,1.63964
7.1001,0.28724,2.69252,3.944,20.9,1.58273
7.1002,0.13814,1.97084,2.716,14.09,1.71859
7.1003,0.51372,2.0578,2.324,40.31,1.19405
7.2,0.24181,2.76247,4.0733,19.35,1.61309
7.2001,0.29411,2.35439,3.248,23.21,1.53585
7.2002,0.22104,3.32413,3.808,17.78,1.64436
7.2003,1.03719,3.71345,5.372,48.61,1.03406
7.3,0.20041,5.24557,6.438,13.56,1.72878
7.3003,0.18956,3.8953,6.754,13.32,1.73387
7.4,0.4412,3.60375,5.346,29.78,1.40654
7.4001,0.4002,4.34318,4.738,29.41,1.41733
7.4002,0.25895,2.72688,3.864,19.77,1.60541
7.4003,0.24876,2.24932,3.686,17.47,1.65218
7.5,0.44471,2.43024,3.51,23.88,1.52468
7.5001,0.39965,2.28339,3.68,21.19,1.57933
7.5002,0.26648,2.50256,3.91,14.28,1.71586
7.5003,0.26648,2.7038,3.45,24.79,1.5091
7.6,0.28282,3.5757,6.096,17.05,1.65985
7.6001,0.10532,2.76552,4.16,7.67,1.84659
7.6003,0.04532,1.95802,3.624,5.63,1.8875
7.7,0.37894,5.66135,9.416,21.05,1.5798
7.7001,0.38605,3.91159,7.152,22.55,1.55034
7.7002,1.13501,4.99538,7.7474,42.5,1.15482
7.7003,0.43795,3.80738,6.394,26.95,1.46135
7.8001,0.22306,3.86237,5.819,30.16,1.3971
7.8002,0.36308,2.7143,4.785,32.94,1.3602
7.8003,0.24268,2.8138,5.235,24.81,1.50678
7.8004,0.24171,2.7669,5.684,25.4,1.49472
8.1,0.0969,5.4319,6.202,5.18,1.89645
8.1001,0.49302,5.94439,7.293,30.36,1.39322
8.1002,0.01327,1.56147,1.69,1.27,1.97464
8.1003,0.0351,2.10158,2.232,3.1,1.938
8.3,0.02397,4.45802,6.341,1.52,1.96962
8.3001,0.00778,3.10208,5.1,1.17,1.9767
8.3002,0.07298,5.6525,6.63,1.61,1.96776
8.3003,0.02272,7.86974,10.425,1.68,1.96643
8.4,0.00434,1.30185,1.771,0.82,1.9836
8.4001,0.00779,1.97058,2.254,2.31,1.95377
8.4002,0.01773,7.16875,8.74,3.17,1.9367
8.4003,0.04881,3.95531,4.395,7.63,1.84735
8.5,0.54692,1.42985,3.682,46.38,1.11109
8.5001,1.88674,7.07792,8.874,92.6,0.28792
8.5002,3.8992,8.30155,9.367,99.79,0.12028
8.5003,0.39377,5.40497,9.367,29.97,1.40423
8.6,0.95692,6.11945,9.135,28.33,1.43499
8.6001,2.30697,11.29194,14.193,86.88,0.3394
8.6002,2.25797,6.0095,6.741,87.87,0.32021
8.6004,0.45578,4.70762,10.395,13.49,1.73029
8.7002,1.27481,17.7484,30.192,29.56,1.41551
8.8003,1.96662,5.34526,7.943,87.42,0.48362
8.8004,0.25402,1.82136,3.498,28.21,1.43578
9.2,5.15451,10.78412,12.376,99.61,0.13236
9.2001,5.00842,8.97266,8.996,99.98,0.00543
9.2002,4.88915,9.37639,10.948,99.87,0.11192
9.2003,2.9314,6.02852,8.37,97.67,0.12789
9.3,4.81535,11.22363,16.82,98.19,0.26715
9.3001,8.83439,14.29121,14.31,100,0.00261
9.3002,3.72864,15.60699,19.9,97.2,0.1531
9.3003,5.07118,13.90638,15.393,99.54,0.09753
9.4,7.48206,15.73182,21.144,99.98,0.17873
9.4002,4.04191,10.2915,13.952,97.34,0.17712
9.4003,6.85661,7.08979,11.552,100,0.31201
9.5,1.68359,8.08094,17.094,94.15,0.3079
9.5001,2.99492,10.38803,20.746,99.81,0.24785
9.5002,3.8844,11.68508,22.7,99.97,0.23679
9.5003,2.83643,9.04788,18.59,99.77,0.25721
9.6,5.55676,12.9168,22.3795,99.96,0.16599
9.6001,5.36603,12.44298,19.413,99.82,0.1637
9.6002,6.03285,17.59123,23.325,100,0.14345
9.6003,6.40422,16.78473,21.672,99.97,0.13258
9.8,2.02549,5.4874,12.393,99.74,0.17732
9.8001,2.83353,6.73121,13.776,99.92,0.17102
9.8002,2.21976,4.97421,10.179,99.43,0.22706
9.8003,3.06264,5.93352,11.977,99.99,0.17389
13.1,0.14247,2.08225,4.301,17.58,1.65217
13.1001,0.33919,3.13768,3.933,28.63,1.43426
13.1002,0.76713,4.86043,6.846,36.04,1.28487
13.1003,0.62571,3.33291,4.503,31.73,1.37041
13.2,0.02937,2.3375,6.16,2.52,1.94958
13.2001,0.12976,2.76346,3.85,11.99,1.76025
13.2002,0.17331,1.50885,4.826,13.63,1.72747
13.2003,0.11065,6.368,6.604,9.58,1.8084
13.3,0.40624,2.7242,3.6,25.05,1.49907
13.3001,0.49167,2.66086,3.36,27.5,1.45005
13.3002,0.44145,2.84958,3.36,26.27,1.47464
13.3003,0.42336,3.04078,3.72,30.71,1.38585
13.4,0.08568,5.29943,8.284,8.28,1.83445
13.4001,2.09992,5.5761,6.784,61.44,0.78137
13.4002,1.71318,5.81986,6.804,49.96,1.0141
13.4003,0.30791,4.94923,8.92,16.34,1.67323
13.5,0.20301,2.80932,4.326,16.3,1.67422
13.5001,0.10287,2.78648,4.944,9.1,1.81808
13.5002,0.61106,2.47482,3.392,40.43,1.19235
13.5003,1.41904,4.25962,5.2,53.09,0.94564
13.7,1.41904,4.48911,8.323,26.5,1.4777
13.7001,0.3246,3.97612,6.096,17.3,1.6592
13.7002,0.08743,2.26034,4.12,7.01,1.85977
13.7003,0.0442,3.25693,6,4.31,1.91381
13.8,0.25346,3.13553,5.945,19.33,1.61969
13.8001,0.44568,4.59722,7.018,25.28,1.49685
13.8002,0.38179,3.91359,7.502,27.54,1.44999
13.8003,0.28527,3.10562,5.675,21.93,1.56519
14.1,0.05933,5.34406,5.73,4.48,1.91039
14.1001,0.00018,0.71411,0.78,0.06,1.99889
14.1002,0.09128,4.13341,4.2,5.75,1.88503
14.1003,0.04335,5.05259,7.488,1.64,1.96729
14.2,0.0252,1.54398,3.2,2.29,1.95415
14.2001,0.05447,1.70803,3.4,3.62,1.92764
14.2002,0.01372,1.70748,4.32,1.43,1.97143
14.2003,0.03825,1.79085,4,3.57,1.92858
14.3,0.01845,1.67085,1.672,3.48,1.93041
14.3001,0.06943,1.45692,1.554,11.15,1.77702
14.3002,0.00257,1.53914,1.568,0.68,1.98632
14.3003,0.01351,1.40924,1.421,3.7,1.92597
14.4,0.10742,1.10856,1.464,12.46,1.75082
14.4001,0.06832,2.21584,3.4517,8.45,1.83104
14.4002,0.02089,1.92056,3.289,3.06,1.93877
14.4003,0.34501,11.5347,12.72,13.83,1.72333
14.5001,1.96148,14.11563,15.903,29.61,1.4087
14.5002,0.13998,5.1323,6.696,6.47,1.87066
14.5003,0.12438,4.41008,5.664,7.79,1.8441
14.6,0.6314,4.73584,10.516,41.93,1.20446
14.6001,0.24498,9.35669,18.126,16.69,1.6663
14.6002,5.72093,8.62721,8.84,99.96,0.03885
14.6003,0.11443,8.18984,16.261,7.87,1.84256
14.7001,0.52492,7.43172,26.082,17.9,1.65155
14.7002,5.04681,12.15953,16.044,99.73,0.18073
14.7003,1.40785,15.44933,22.899,88.07,0.47259
14.7004,7.39278,13.72126,18.316,99.32,0.28043
14.7005,6.01962,4.35693,12.12,45.38,1.20255
14.8,0.5933,8.77471,14.96,15.95,1.68103
14.8001,1.06712,5.02175,"	14.8188",20.49,1.59016
14.8002,7.23292,10.28725,12.999,86.63,0.36685
14.8003,12.35008,15.79621,16.093,100,0.03121
14.8004,4.26811,5.68721,6.552,99.97,0.12488
15.1001,8.20519,17.88437,18.94,100,0.05957
15.1002,8.8986,21.14144,26.151,100,0.11461
15.1003,10.80109,24.2431,30.836,99.88,0.14979
15.3,3.27818,5.80177,9.25,99.41,0.17893
15.3001,4.29888,8.78269,14.4,98.71,0.20185
15.3002,3.25225,6.73449,10.5,81.52,0.40085
15.3003,2.78968,5.77088,10.2,93.29,0.26313
15.4,6.33701,13.68154,21.679,94.18,0.30226
15.4001,7.29762,21.04837,28.888,59.01,0.81988
15.4002,7.49865,13.06193,20.577,90.57,0.34942
15.4003,5.18223,11.59797,14.805,98.02,0.19637
15.5002,5.8921,14.37099,22.032,95.38,0.32803
15.5003,5.94308,15.02821,21.09,98.11,0.29576
15.6,2.98099,8.38492,15.36,99.73,0.15195
15.6001,2.41024,7.46291,14.1,96.4,0.20664
15.6002,3.27757,5.82403,9.956,99.56,0.1762
15.6003,2.98494,9.21709,13.896,98.61,0.14493
15.7,5.43139,9.10156,16.721,100,0.11691
15.7001,3.80929,6.96708,15.36,99.96,0.15703
15.7002,4.17497,8.01952,15.114,99.96,0.14656
15.7003,3.24085,8.51637,15.985,99.94,0.11589
15.8,4.11032,10.89957,22.14,99.9,0.17109
15.8001,3.35736,14.31555,22.984,99.64,0.12286
15.8002,3.28637,13.17538,23.225,99.34,0.16633
15.8003,6.99386,14.8364,30.025,99.97,0.20021
